thread ID,blocked,cyclic,"blocked,relabel-ascending","cyclic,relabel-ascending","blocked,relabel-descending","cyclic,relabel-descending"
1,30471569,70445282,62304683,60413721,14429981,63884406
2,31255753,83752973,63246829,61704274,14861793,65585359
3,32314120,89601914,67015544,61836060,15027812,71038589
4,32346297,92796921,68490051,61868625,15396585,77658817
5,32523688,94313135,68748176,62200991,15487622,78303200
6,32845733,94580918,70133420,62358116,15665109,86509896
7,33256449,94869194,71454355,62386664,16615067,98917865
8,33774011,98188749,78660323,62426463,16660034,111167101
9,34047622,99158847,86256644,62665743,17219391,111598402
10,34488914,103553151,86773115,62700679,17317417,111855771
11,35948245,106783784,87012058,121143875,17413038,112336168
12,36227413,108328195,88876223,121157199,17687375,113810502
13,37224255,108455124,89102618,121330760,17946620,113988236
14,37415462,110105606,91847949,121377199,18044363,114675219
15,38015810,113033762,92794913,122041140,18082064,115487131
16,38757706,114068528,94387251,122342071,18201331,115812556
17,39074372,115435162,95464107,122399597,18410192,117908142
18,39203349,117614907,95815009,122609001,18426526,120576058
19,39262847,117617302,96390119,122619591,18450382,120922753
20,41918928,117675573,96766812,122659859,19241531,121189784
21,42053612,118867313,97751425,122884929,20125198,124129225
22,43308284,122166978,99677150,122977092,20241353,124468110
23,44238690,124161617,101296857,123026930,20377498,125010909
24,44463071,129585575,102913568,123593387,20385974,125313100
25,44819048,130825326,105800339,124316799,22485001,125857501
26,45373568,133114134,128011825,124449197,22844175,125972448
27,52752848,133859676,132974156,124563616,23420511,127282597
28,56422054,144609654,150665155,124675938,26933511,133137198
29,70821703,145632995,196223626,124843941,27716414,172777906
30,81463202,160975241,215592902,186191649,30771489,173163862
31,105652503,259497208,438405011,366312491,35008344,245659207
32,2595910805,283977187,516799718,429574334,3326758230,291653913
