thread ID,blocked,cyclic,"blocked,relabel-ascending","cyclic,relabel-ascending","blocked,relabel-descending","cyclic,relabel-descending"
1,2778687,3393725,3041417,3545223,3918177,3614620
2,2969351,3467956,3603361,3572034,4068352,3639013
3,3030596,3489966,3895618,3575426,4114120,3641704
4,3823325,3518293,4394719,3579790,4198099,3693704
5,3972565,3522487,4504036,3637035,4861596,3767814
6,3992496,3542050,4589339,3675956,4906177,3823214
7,4053383,3933501,4661459,3703743,4925506,3896754
8,4133344,6838346,4676038,3733967,5071933,7053519
9,4145905,6869492,4691890,3739457,5118827,7101904
10,4450546,6887211,4775163,3825941,5131813,7130176
11,4732054,7034140,4802519,6998137,5300971,7143120
12,4801574,7059393,4831826,7100353,5341867,7156133
13,4910727,7095326,5302022,7117705,5422546,7169773
14,4990765,7150190,5353235,7132010,5572322,7185609
15,6025659,7206971,5489664,7200761,5771641,7196924
16,6385077,7232569,5812913,7219644,5820750,7198267
17,6548427,7285611,5822505,7223029,5821748,7206747
18,6627779,7289817,5963374,7228091,5984255,7206945
19,6785250,7443727,6527185,7235559,6194417,7216288
20,7018732,7450857,6759990,7241931,6261139,7243333
21,7584384,7562305,6766568,7254709,6301627,7274072
22,7903151,7585523,6849769,7264171,6439776,7279687
23,8331816,7594359,7415536,7286491,6573315,7281284
24,9355159,7657523,7863475,7294877,6721048,7300093
25,9758354,7716692,8449330,7353883,6895312,7364824
26,10777437,7742667,9137864,7364756,7100223,7415571
27,11323244,7743272,9426487,7397566,7451203,7417917
28,11637019,7769777,10357482,7416822,7886596,7438400
29,14348060,8097286,11181016,11017150,8118794,7496478
30,14521367,10493663,12238249,11157047,10124799,10784648
31,15174244,16867053,21806205,21835811,12851103,18384231
32,16383533,18732262,22283756,22344935,43003958,18551244
