thread ID,blocked,cyclic,"blocked,relabel-ascending","cyclic,relabel-ascending","blocked,relabel-descending","cyclic,relabel-descending"
1,390374,921428,443693,835053,86524,855439
2,401783,927367,479676,838471,92308,872464
3,408950,1029811,605686,839942,93517,900645
4,423006,1034653,662945,840344,94801,924377
5,436157,1365210,669029,841414,96994,934292
6,439777,1418598,757267,841499,99407,975052
7,441566,1425535,772535,845060,101715,1017460
8,451125,1433670,797991,845948,102628,1612173
9,458737,1438206,808947,848284,102748,1616142
10,462767,1462263,973210,857436,104809,1620685
11,474257,1560733,1019232,1670377,107358,1628566
12,486517,1562039,1075636,1672650,109457,1629529
13,500519,1605257,1102373,1674887,110007,1635881
14,503345,1607384,1127774,1675808,113709,1641719
15,518208,1613573,1217377,1676192,115756,1642942
16,519347,1652446,1219945,1676460,120611,1655272
17,526250,1655729,1235622,1680867,121961,1662361
18,558538,1664143,1301721,1680879,124437,1669825
19,579967,1676611,1331345,1681515,124611,1677820
20,591007,1701615,1365140,1684308,124949,1678494
21,597023,1706494,1375058,1686436,127807,1679130
22,601357,1711919,1412226,1688364,131965,1681342
23,614091,1713709,1480953,1688787,135510,1685045
24,614259,1776778,1493943,1689326,141430,1706302
25,628955,1781300,1517494,1698114,142913,1707014
26,692480,1782099,1760218,1700222,147332,1716251
27,763270,1820391,2292032,1700493,151963,1753769
28,884901,1850009,2334481,1701746,155878,1785976
29,1074676,1882250,2407425,1706237,176783,2443260
30,1125474,2069470,3495265,2543397,204800,2478465
31,1469057,3533325,7436942,5041557,331314,3322463
32,35313337,3567062,7977896,5899004,49955075,4140922
