thread ID,blocked,cyclic,relabeledge+cyclic
1,101826311,153858540,171895178
2,106642442,159411580,251979430
3,112501487,170064826,252123869
4,115307643,227010939,252180083
5,125336734,231863477,252272033
6,127090336,247361706,252709349
7,129472637,248921064,254603344
8,131068160,253081218,254655165
9,131358940,253546433,255716123
10,133089966,253961715,256501052
11,135640404,257394312,256964082
12,141234798,257485791,259772170
13,144663474,257590783,260373201
14,145572465,260510376,260860649
15,149180767,262127082,261690312
16,149814131,262666473,262268926
17,150191513,264251557,262307851
18,152372453,264591855,262891976
19,153829544,266013252,263297918
20,162240035,266826792,264176776
21,162876656,268895718,267742865
22,165533360,274236514,268263961
23,166387903,276940891,270775552
24,168062845,277027610,272209905
25,172369440,281707070,273155204
26,177846799,286855281,274016198
27,177919128,288702415,277071625
28,178291433,294758276,277355957
29,188819513,297081498,281358719
30,215392661,347305475,282432583
31,239187690,375813109,287760506
32,3767428040,390686080,377167146
